"","city_name","lon","lat","flights.sum","type","cancelled.percent","delay.percent","nas_delay.percent","carrier_delay.percent","weather_delay.percent","security_delay.percent","late_aircraft_delay.percent"
"97","Evansville, IN",-87.5710898,37.9715592,2681,"destination",0.0220067139127191,0.251025736665423,0.0768370011189854,0.0831779186870571,0.010816859380828,0,0.092875792614696
"98","Fairbanks, AK",-147.7163888,64.8377778,3604,"destination",0.00693673695893452,0.250554938956715,0.0876803551609323,0.0474472807991121,0.00499445061043285,0.00249722530521643,0.0380133185349612
"99","Fargo, ND",-96.7898034,46.8771863,4139,"destination",0.0144962551340904,0.242812273496014,0.0785213819763228,0.0765885479584441,0.012080212611742,0.000241604252234839,0.0753805266972699
"100","Fayetteville, AR",-94.1718542,36.082156,7512,"destination",0.0170394036208733,0.276757188498403,0.0909211927582535,0.0867944621938232,0.0126464323748669,0,0.0847976570820021
"101","Fayetteville, NC",-78.8783585,35.0526641,1937,"destination",0.0144553433144037,0.325761486835312,0.0836344863190501,0.114610221992772,0.0191017036654621,0.00103252452245741,0.0980898296334538
"102","Flagstaff, AZ",-111.651302,35.1982836,1286,"destination",0.0147744945567652,0.199844479004666,0.0381026438569207,0.0451010886469673,0.0015552099533437,0,0.0660964230171073
"103","Flint, MI",-83.6874562,43.0125274,4109,"destination",0.0194694572888781,0.338525188610368,0.081041615964955,0.0825018252616208,0.0141153565344366,0.000486736432221952,0.105621805792164
"104","Florence, SC",-79.7625625,34.1954331,158,"destination",0.0126582278481013,0.386075949367089,0.113924050632911,0.189873417721519,0.0126582278481013,0,0.126582278481013
"105","Fort Lauderdale, FL",-80.1373174,26.1224386,88764,"destination",0.0238610247397594,0.384615384615385,0.115046640529945,0.121941327565229,0.00820152314001172,0.00100265873552341,0.0984520751656077
"106","Fort Myers, FL",-81.8723084,26.640628,31205,"destination",0.0187790418202211,0.341964428777439,0.10341291459702,0.107899375100144,0.0105752283287935,0.000352507610959782,0.0818779041820221
"107","Fort Smith, AR",-94.3985475,35.3859242,1383,"destination",0.0151843817787419,0.242227042660882,0.06941431670282,0.0932754880694143,0.00723065798987708,0,0.0903832248734635
"108","Fort Wayne, IN",-85.1393513,41.079273,6144,"destination",0.0146484375,0.3115234375,0.108235677083333,0.0955403645833333,0.013671875,0.000325520833333333,0.142903645833333
"109","Fresno, CA",-119.7871247,36.7377981,8842,"destination",0.00486315313277539,0.236824247907713,0.070006785795069,0.0680841438588555,0.0037321872879439,0,0.08979868807962
"110","Gainesville, FL",-82.3248262,29.6516344,2157,"destination",0.0125173852573018,0.307834955957348,0.0904033379694019,0.110338433008809,0.0139082058414465,0,0.0992118683356514
"111","Garden City, KS",-100.8726618,37.9716898,240,"destination",0.0208333333333333,0.175,0.0666666666666667,0.05,0.0458333333333333,0,0.0791666666666667
"112","Gillette, WY",-105.5022205,44.2910915,976,"destination",0.0133196721311475,0.207991803278689,0.0819672131147541,0.0655737704918033,0.00922131147540984,0,0.0850409836065574
"113","Grand Forks, ND",-97.0328547,47.9252568,1567,"destination",0.0159540523292916,0.209317166560306,0.0638162093171666,0.0638162093171666,0.00701978302488832,0,0.0606253988513082
"114","Grand Island, NE",-98.3420118,40.9263957,533,"destination",0.0206378986866792,0.281425891181989,0.108818011257036,0.101313320825516,0.0168855534709193,0,0.108818011257036
"115","Grand Junction, CO",-108.5506486,39.0638705,2874,"destination",0.00208768267223382,0.17223382045929,0.0487125956854558,0.0427974947807933,0.00452331245650661,0,0.046972860125261
"116","Grand Rapids, MI",-85.6680863,42.9633599,12658,"destination",0.0162742929372729,0.324063833148997,0.0846895244114394,0.101516827302891,0.0132722389003002,0.000237004266076789,0.0965397377152789
"117","Great Falls, MT",-111.3007715,47.5052849,1636,"destination",0.00366748166259169,0.201711491442543,0.0488997555012225,0.0592909535452323,0.00488997555012225,0,0.0452322738386308
"118","Green Bay, WI",-88.0132958,44.5133188,4425,"destination",0.0207909604519774,0.256271186440678,0.0874576271186441,0.0729943502824859,0.00949152542372881,0,0.0944632768361582
"119","Greensboro/High Point, NC",-79.8296743,36.0899873,7853,"destination",0.0241945753215332,0.322551890997071,0.0944861836240927,0.106838151025086,0.0169362027250732,0.000127339870113332,0.098051699987266
"120","Greenville, NC",-77.3663538,35.612661,100,"destination",0.03,0.33,0.15,0.18,0.02,0,0.13
"121","Greer, SC",-82.2270568,34.9387279,8201,"destination",0.0146323619070845,0.340080477990489,0.0740153639800024,0.109254968906231,0.0149981709547616,0.000365809047677113,0.101694915254237
"122","Gulfport/Biloxi, MS",-89.0928155,30.3674198,2893,"destination",0.0203940546145869,0.239198064293121,0.0774282751469063,0.0798479087452472,0.0152091254752852,0.00103698582786035,0.0584168683027999
"123","Gunnison, CO",-106.9253207,38.5458246,183,"destination",0.00546448087431694,0.240437158469945,0.092896174863388,0.120218579234973,0.0109289617486339,0,0.0382513661202186
"124","Gustavus, AK",-135.7369443,58.4133333,84,"destination",0.0476190476190476,0.214285714285714,0.0357142857142857,0.0476190476190476,0.0119047619047619,0,0.0357142857142857
"125","Hagerstown, MD",-77.7199932,39.6417629,35,"destination",0,0.428571428571429,0.114285714285714,0.285714285714286,0,0,0.142857142857143
"126","Hancock/Houghton, MI",-88.5809563,47.1268714,728,"destination",0.0508241758241758,0.256868131868132,0.092032967032967,0.0714285714285714,0.00824175824175824,0.00137362637362637,0.103021978021978
"127","Harlingen/San Benito, TX",-97.6311006,26.132576,2826,"destination",0.0290162774239207,0.444090587402689,0.0654635527246992,0.12208067940552,0.00601556970983723,0.000353857041755131,0.156404812455768
"128","Harrisburg, PA",-76.8867008,40.2731911,4262,"destination",0.0218207414359456,0.256217738151103,0.0739089629282027,0.0800093852651337,0.015485687470671,0,0.0652275926794932
"129","Hartford, CT",-72.6733723,41.7658043,23969,"destination",0.0237807167591472,0.36618131753515,0.0737202219533564,0.116942717676999,0.01138971171096,0.000542367224331428,0.0980433059368351
"130","Hattiesburg/Laurel, MS",-89.335421,31.468239,722,"destination",0.0318559556786704,0.331024930747922,0.142659279778393,0.0678670360110803,0.00554016620498615,0,0.227146814404432
"131","Hayden, CO",-107.2636842,40.4894302,1130,"destination",0.00884955752212389,0.292920353982301,0.12212389380531,0.0938053097345133,0.0247787610619469,0,0.0752212389380531
"132","Hays, KS",-99.3267702,38.8791783,663,"destination",0.0165912518853695,0.209653092006033,0.0920060331825038,0.0678733031674208,0.00603318250377074,0,0.0995475113122172
"133","Helena, MT",-112.0391057,46.5891452,1667,"destination",0.00419916016796641,0.213557288542292,0.0605878824235153,0.0551889622075585,0.00599880023995201,0,0.0557888422315537
"134","Hibbing, MN",-92.9376887,47.4271546,623,"destination",0.0160513643659711,0.130016051364366,0.0353130016051364,0.0337078651685393,0.0112359550561798,0,0.0369181380417336
"135","Hilo, HI",-155.0868193,19.7241106,6573,"destination",0.00167351285562148,0.250722653278564,0.00928038947208276,0.0768294538262589,0.00638977635782748,0.000152137532329226,0.0511182108626198
"136","Hobbs, NM",-103.1360403,32.7026116,659,"destination",0.0288315629742033,0.142640364188164,0.0515933232169954,0.039453717754173,0.00758725341426404,0,0.0288315629742033
"137","Honolulu, HI",-157.8583333,21.3069444,48152,"destination",0.00342664894500748,0.320817411530155,0.0265824887855125,0.0831741153015451,0.00882621697956471,0.000394583817909952,0.0630711081575012
"138","Houston, TX",-95.3698028,29.7604267,196851,"destination",0.0317041823511184,0.286902276340989,0.0868575724786768,0.072486296742206,0.00821941468420277,0.000355598904755373,0.0760829256645889
