"","city_name","lon","lat","dest_cancelled.counter","dest_delay.counter","dest_nas_delay.counter","dest_carrier_delay.counter","dest_weather_delay.counter","dest_security_delay.counter","dest_late_aircraft_delay.counter","origin_flights.sum","origin_cancelled.counter","origin_delay.counter","origin_nas_delay.counter","origin_carrier_delay.counter","origin_weather_delay.counter","origin_security_delay.counter","origin_late_aircraft_delay.counter"
"144","Iron Mountain/Kingsfd, MI",-88.0720706,45.7949561,7,134,37,41,6,0,46,676,11,200,56,29,8,2,81
"145","Islip, NY",-73.2103934,40.7298207,186,2545,378,685,45,3,747,5923,196,2205,556,598,36,2,596
"146","Ithaca/Cortland, NY",-76.5002026,42.4383677,8,253,67,74,16,1,81,1002,9,248,124,58,13,1,124
"147","Jackson, WY",-110.7624282,43.4799291,16,1093,319,336,56,0,269,3725,33,1006,343,209,40,0,304
"148","Jackson/Vicksburg, MS",-90.8745758,32.3522304,116,1412,382,439,93,2,344,5489,124,1254,420,313,58,1,406
"149","Jacksonville, FL",-81.655651,30.3321838,462,7512,1844,2622,277,8,2090,20775,480,6281,1698,1692,202,6,2078
"150","Jacksonville/Camp Lejeune, NC",-77.4013403,34.6250544,37,521,150,233,17,5,136,1473,42,410,101,114,4,1,161
"151","Jamestown, ND",-98.7084357,46.9105438,23,183,61,52,7,1,55,987,43,208,49,45,5,1,74
"152","Joplin, MO",-94.513281,37.0842271,12,103,40,30,11,0,46,466,15,107,74,41,8,0,43
"153","Juneau, AK",-134.4197221,58.3019444,39,902,319,193,24,10,201,4429,50,907,325,205,23,19,226
"154","Kahului, HI",-156.4729469,20.8893351,62,6615,880,1967,118,8,994,24607,112,7198,634,2065,149,15,1861
"155","Kalamazoo, MI",-85.5872286,42.2917069,53,612,194,190,38,0,220,2341,57,476,233,102,23,1,253
"156","Kalispell, MT",-114.316813,48.1919889,7,606,172,174,17,0,148,2369,8,472,169,65,21,1,192
"157","Kansas City, MO",-94.5785667,39.0997265,588,18618,3241,5118,370,25,5159,48337,614,15768,3295,3214,325,23,4435
"158","Ketchikan, AK",-131.6461112,55.3422222,14,584,271,166,12,5,103,2426,30,583,199,94,17,4,188
"159","Key West, FL",-81.7799871,24.5550593,83,590,186,199,27,0,125,2816,87,769,192,139,6,1,195
"160","Killeen, TX",-97.7277959,31.1171194,59,473,143,185,19,0,126,1865,64,459,173,142,15,1,149
"161","King Salmon, AK",-156.661351,58.6883251,0,16,2,2,0,0,2,63,0,14,4,1,0,1,2
"162","Knoxville, TN",-83.9207392,35.9606384,173,2769,958,1016,132,2,920,9194,170,2409,864,629,62,2,780
"163","Kodiak, AK",-152.4072221,57.79,29,100,49,34,17,0,17,645,29,120,46,9,4,9,49
"164","Kona, HI",-155.9969261,19.639994,20,3643,474,963,73,5,596,14159,56,3695,454,898,88,23,980
"165","Kotzebue, AK",-162.5966666,66.8983333,30,118,31,19,6,2,17,720,38,168,66,28,13,11,42
"166","La Crosse, WI",-91.2519017,43.8137751,33,526,255,151,28,1,232,2096,34,464,180,64,25,1,233
"167","Lafayette, LA",-92.0198427,30.2240897,75,603,191,197,32,0,172,2987,76,580,244,134,32,1,246
"168","Lake Charles, LA",-93.2173758,30.2265949,48,211,103,72,17,0,61,1284,48,157,66,46,10,0,55
"169","Lansing, MI",-84.5555347,42.732535,40,611,185,174,32,0,221,2576,41,546,232,99,16,0,256
"170","Laramie, WY",-105.5911007,41.3113669,8,124,49,43,5,0,45,624,9,112,65,26,10,0,46
"171","Laredo, TX",-99.4803241,27.5305671,64,346,155,120,24,0,105,1962,64,362,144,115,7,1,139
"172","Las Vegas, NV",-115.1398296,36.1699412,1208,60621,13891,15215,1004,131,16542,155112,1274,64653,13567,16519,601,94,17872
"173","Latrobe, PA",-79.3794811,40.3211808,21,296,143,70,14,5,66,1057,28,223,113,54,2,3,73
"174","Lawton/Fort Sill, OK",-98.4184224,34.5938359,26,221,63,103,8,0,76,948,29,206,100,70,12,0,83
"175","Lewisburg, WV",-80.4456303,37.8017879,0,11,8,2,1,0,2,58,1,16,13,4,2,0,8
"176","Lewiston, ID",-117.001189,46.4004089,1,65,17,20,4,0,10,759,1,57,5,6,1,0,22
"177","Lexington, KY",-84.5037164,38.0405837,128,1702,452,563,72,4,527,6353,143,1483,706,299,54,1,580
"178","Liberal, KS",-100.920999,37.0430812,1,35,15,6,1,0,16,143,1,32,17,9,2,0,11
"179","Lihue, HI",-159.3711111,21.9811111,38,3423,360,1051,69,8,563,13104,72,3389,294,810,100,0,1003
"180","Lincoln, NE",-96.7025955,40.813616,25,622,232,216,19,1,191,2526,24,525,194,106,20,1,181
"181","Little Rock, AR",-92.2895948,34.7464809,103,3208,704,982,131,4,911,9295,106,2673,721,652,82,3,791
"182","Long Beach, CA",-118.1937395,33.7700504,121,6387,1392,2355,88,9,2382,17012,116,5398,1265,1630,49,3,1825
"183","Longview, TX",-94.7404891,32.5007037,13,30,16,10,6,0,13,223,14,40,20,9,6,0,18
"184","Los Angeles, CA",-118.2436849,34.0522342,2039,78747,27803,19116,1738,165,19092,216648,1958,81771,21312,21826,523,142,22247
"185","Louisville, KY",-85.7584557,38.2526647,242,4712,1058,1334,176,6,1287,13473,258,4290,1311,1005,105,9,1301
"186","Lubbock, TX",-101.8551665,33.5778631,68,1822,347,519,36,1,608,4858,74,1401,345,320,33,1,518
"187","Lynchburg, VA",-79.1422464,37.4137536,12,104,33,44,6,0,28,303,14,88,28,25,6,0,28
"188","Madison, WI",-89.4012302,43.0730517,142,2728,839,819,104,0,868,10001,141,2311,817,386,91,1,912
"189","Mammoth Lakes, CA",-118.972079,37.648546,13,43,11,11,1,0,18,104,13,42,12,3,1,0,25
